Nombre_Nuevo_Excel,Mejor_Coincidencia_Sistema_Actual,Nivel_de_Confianza_Porcentaje,Sheet_Origen
FR-9311 9311 BUJE MUELLE BALANCIN MONTERO MITSUBISHI LARGO,FR-9303 / CB9721,25,FICHAS_INT_CAR
FR-9312 9312 BUJE MUELLE BALANCIN MONTERO MITSUBISHI CORTO,INY-936A12CC,26,INYECCION
FR-9313 9313 BUJE MUELLE PARA ISUZO NKR/MITSUBISHI CANTER DELANTERO/ TOYOTA DYNA,INY-8CDEAEEE,22,INYECCION
FR-9313H 9313H BUJE MUELLE HOJA CON CARCAZA PARA MITSUBISHI CANTER,FR-9303 / CB9721,22,FICHAS_INT_CAR
"FR-9313HD 9313HD BUJE HOJA MUELLE HYUNDAHI HD 65, 72 Y 78",INY-77D1BEE1,26,INYECCION
FR-9314 9314 BUJE TIJERA BRAZO OXILANTE PARA CHEVROLET SPARK CHRONOS.,INY-44B0CBEE,22,INYECCION
"FR-9316 9316 BUJE BALANCIN MUELLE PARA MITSUBISHI MONTERO, L200, MAZDA",INY-38BACE22,22,INYECCION
"FR-9317 9317 BUJE DE MUELLE PARA NISSAN 620,720 TRASERO LISO PEQUEÑO",INY-77D1BEE1,23,INYECCION
"FR-9318 9318 BUJE CORTO DE MUELLE PARA NISSAN URBAN, KIA PREGIO Y GRAND PREGIO",INY-8CDEAEEE,27,INYECCION
FR-9319 9319 BUJE LARGO DE MUELLE (HULE BALANCIN) PARA NISSAN PATROL SD 33 TRASERO,INY-91EEAEE5,22,INYECCION
FR-9320 9320 BUJE DE MUELLE BALANCIN PARA NISSAN D-21 TODOS LOS MODELOS,FR-9303 / CB9721,24,FICHAS_INT_CAR
FR-9322 9322 BUJE MUELLE CON CARCAZA PARA ISUZ,FR-9303 / CB9721,27,FICHAS_INT_CAR
FR-9326 9326 BUJE MUELLE TOYOTA HILUX LARGO,INY-3265F93B,33,INYECCION
FR-9329 9329 BUJE BARRA ESTABILIZADORA TOYOTA HILUX-LUV 2300,INY-73993ABB,28,INYECCION
FR-9351 9351 BUJE ESTABILIZADORA NISSAN FRONTIER,INY-9939AF1F,30,INYECCION
FR-9352 9352 BUJE ESTABILIZADORA NISSAN PATHFINDER MONTERO,INY-5512EEFA,29,INYECCION
FR-9355 9355 BUJE ESTABILIZADORA LAND CRUISER BURBUJA,INY-9BBB3ACC,28,INYECCION
FR-9360 9360 BUJE ESTABILIZADORA NISSAN D21,FR-9303 / CB9721,39,FICHAS_INT_CAR
"FR-9363 9363 BUJE ESTABILIZADORA LAND CRUISER 4,5",INY-4533EB9D,30,INYECCION
FR-9378 9378 BUJE AMORTIGUADOR TOYOTA UNIVERSAL,INY-0393B784,27,INYECCION
FR-9380 9380  BUJE MUELLE DELANTERO NPR ENSAMBLADO,INY-8CDEAEEE,30,INYECCION
FR-9382 9382 BUJE MUELLE BALANCIN PARA TOYOTA LAND CRUISER,INY-38BACE22,29,INYECCION
FR-9401 9401 BUJE CHEVROLET LUV 1600; 2000; 2300,FR-9303 / CB9721,27,FICHAS_INT_CAR
FR-9402 9402 BUJE  CHEVROLET LUV 1600,FR-9303 / CB9721,32,FICHAS_INT_CAR
FR-9403 9403 BUJE CHEVROLET SAMURAI,FR-9303 / CB9721,37,FICHAS_INT_CAR
FR-9404 9404 BUJE CHEVROLET SAMURAI,INY-44B0CBEE,34,INYECCION
FR-9405 9405 BUJE  OEM GJ2134158/54718-43000 CHEVROLET MONZA,INY-F2342158,25,INYECCION
FR-9406 9406 BUJE OEM 111072881 CHEVROLET CHEVETTE GENERICA,INY-10729950,25,INYECCION
"FR-9407 9407 BUJE DAEWOO RACER ESPERO, CIELO",FR-9303 / CB9721,28,FICHAS_INT_CAR
FR-9408 9408 BUJE OEM JI2134158/8AG1-34100 MAZDA 626,INY-342B415A,28,INYECCION
FR-9409 9409 BUJE TORNILLO BARRA ESTABILIZADORA PARA MAZDA 323,INY-9744AEAD,24,INYECCION
FR-9410 9410 BUJE TORNILLO BARRA ESTABILIZADORA MAZDA 323,INY-742941BA,26,INYECCION
"FR-9411 9411 BUJE MAZDA B1600, B2000,B2200",INY-0944B1B0,30,INYECCION
FR-9412 9412 BUJE  CAMPERO GENERICO,INY-742941BA,39,INYECCION
FR-9413 9413 BUJE CAMPEROS GENERICO,INY-742941BA,34,INYECCION
FR-9414 9414 BUJE MITSUBISHI V6 3000,INY-0944B1B0,33,INYECCION
"FR-9415 9415 BUJE TOYOTA LAND CRUISER 4,5L",INY-5246C59E,33,INYECCION
FR-9416 9416 BUJE  CAMPERO GENERICO,INY-742941BA,35,INYECCION
FR-9417 9417 BUJE CAMPEROS GENERICO,INY-742941BA,34,INYECCION
FR-9418 9418 BUJE TORNILLO BARRA ESTABILIZADORA MAZDA HYUNDAI,INY-9744AEAD,27,INYECCION
FR-9419 9419 BUJE TORNILLO ESTABILIZADOR 5 1/2 SEPARADOR 40MM 3/8,INY-0515F19B,23,INYECCION
"FR-9420 9420 BUJE TOYOTA HILUX 2WD,4WD, RUNNER",INY-2944562E,35,INYECCION
FR-9421 9421 BUJE TORNILLO ESTABILIZADOR MAZDA 323 3/8*4 1/2 SEPARADOR DE 15 MM,INY-5512EEFA,20,INYECCION
FR-9422 9422 BUJE MUÑECO MITSUBISHI MONTERO,INY-9BF462BE,30,INYECCION
"FR-9423 9423 BUJE MUÑECO HYUNDAI ACCENT 5/16 ,  5 1/2_x000D_
SEPARADOR DE 35MM",INY-35A43283,21,INYECCION
FR-9430 9430 BUJE  MUÑECO RENAULT CLIO Y SYMBOL,INY-44B0CBEE,32,INYECCION
FR-9430 A 9430 A BUJE CON  PESTAÑA,FR-9303 / CB9721,39,FICHAS_INT_CAR
FR-9430 B 9430 B  BUJE MUÑECON SIN PESTAÑA,INY-30A43CA6,35,INYECCION
FR-9430 C 9430 C BUJE CON FIGURA,FR-9303 / CB9721,39,FICHAS_INT_CAR
FR-9431 9431 BUJE TORNILLO BARRA ESTABILIZADORA TIPO UNIVERSAL MUÑECO NPR,INY-9744AEAD,24,INYECCION
"FR-9450 9450 BUJE MAZDA B1600, B2000, B2200",59510b0e,33,INYECCION
FR-9451 9451 BUJE CAMPERO GENERICO,INY-5512EEFA,35,INYECCION
FR-9452 9452 BUJE CAMPEROS GENERICO,INY-5512EEFA,34,INYECCION
FR-9453 9453 BUJE MITSUBISHI V6 3000,FR-9945,33,FICHAS_INT_CAR
FR-9454 9454 BUJE TORNILLO BARRA ESTABILIZADORA MAZDA HYUNDAI,INY-9744AEAD,27,INYECCION
FR-9455 9455 BUJE MUÑECO MITSUBISHI MONTERO,INY-4500E455,30,INYECCION
"FR-9456 9456 BUJE TOYOTA HILUX 2WD,4WD, RUNNER",INY-2944562E,39,INYECCION
FR-9457 9457 BUJE CAMPERO GENERICO,INY-B49057BF,35,INYECCION
FR-9458 9458 BUJE CHEVROLET SAMURAI,INY-44B0CBEE,34,INYECCION
FR-9459 9459 BUJE CHEVROLET SAMURAI,INY-44B0CBEE,34,INYECCION
FR-9460 9460 BUJE OME GJ2134158/54718-43000 CHEVROLET MONZA,INY-0969EF13,28,INYECCION
"FR-9461 9461 BUJE OEM 11072881 CHEVROLET CHEVETTE, GENERICA",086146ca,24,INYECCION
"FR-9462 9462 BUJE OEM 11087522 DAEWOO RACER, ESPERO, CIELO",INY-2944562E,26,INYECCION
FR-9463 9463 BUJE OEM JI2134158/8AG1-34100 MAZDA 626,INY-342B415A,28,INYECCION
FR-9464 9464 BUJE TORNILLO BARRA ESTABILIZADORA MAZDA 323,INY-2944562E,26,INYECCION
"FR-9465 9465 BUJE TOYOTA LAND CRUISER 4,5L",INY-5246C59E,37,INYECCION
FR-9466 9466 BUJE CAMPEROS GENERICO,FR-9946,33,FICHAS_INT_CAR
FR-9467 9467 BUJE TORNILLO ESTABILIZADOR NISSAN DATSUN 1200,INY-120DE7AA,28,INYECCION
